Match_Id;Tournament_Name;Stadium_Id;Stage_Name;Group_Name;Home Team Code;Away Team Code
M-1930-01;1930 FIFA World Cup;S-193;group stage;Group 1;FRA;MEX
M-1930-02;1930 FIFA World Cup;S-192;group stage;Group 4;USA;BEL
M-1930-03;1930 FIFA World Cup;S-192;group stage;Group 2;YUG;BRA
M-1930-04;1930 FIFA World Cup;S-193;group stage;Group 3;ROU;PER
M-1930-05;1930 FIFA World Cup;S-192;group stage;Group 1;ARG;FRA
M-1930-06;1930 FIFA World Cup;S-192;group stage;Group 1;CHL;MEX
M-1930-07;1930 FIFA World Cup;S-192;group stage;Group 2;YUG;BOL
M-1930-08;1930 FIFA World Cup;S-192;group stage;Group 4;USA;PRY
M-1930-09;1930 FIFA World Cup;S-191;group stage;Group 3;URY;PER
M-1930-10;1930 FIFA World Cup;S-191;group stage;Group 1;CHL;FRA
M-1930-11;1930 FIFA World Cup;S-191;group stage;Group 1;ARG;MEX
M-1930-12;1930 FIFA World Cup;S-191;group stage;Group 2;BRA;BOL
M-1930-13;1930 FIFA World Cup;S-191;group stage;Group 4;PRY;BEL
M-1930-14;1930 FIFA World Cup;S-191;group stage;Group 3;URY;ROU
M-1930-15;1930 FIFA World Cup;S-191;group stage;Group 1;ARG;CHL
M-1930-16;1930 FIFA World Cup;S-191;semi-finals;not applicable;ARG;USA
M-1930-17;1930 FIFA World Cup;S-191;semi-finals;not applicable;URY;YUG
M-1930-18;1930 FIFA World Cup;S-191;final;not applicable;URY;ARG
M-1934-01;1934 FIFA World Cup;S-081;round of 16;not applicable;AUT;FRA
M-1934-02;1934 FIFA World Cup;S-080;round of 16;not applicable;CSK;ROU
M-1934-03;1934 FIFA World Cup;S-072;round of 16;not applicable;GER;BEL
M-1934-04;1934 FIFA World Cup;S-075;round of 16;not applicable;HUN;EGY
M-1934-05;1934 FIFA World Cup;S-078;round of 16;not applicable;ITA;USA
M-1934-06;1934 FIFA World Cup;S-073;round of 16;not applicable;ESP;BRA
M-1934-07;1934 FIFA World Cup;S-069;round of 16;not applicable;SWE;ARG
M-1934-08;1934 FIFA World Cup;S-074;round of 16;not applicable;CHE;NLD
M-1934-09;1934 FIFA World Cup;S-069;quarter-finals;not applicable;AUT;HUN
M-1934-10;1934 FIFA World Cup;S-081;quarter-finals;not applicable;CSK;CHE
M-1934-11;1934 FIFA World Cup;S-074;quarter-finals;not applicable;GER;SWE
M-1934-12;1934 FIFA World Cup;S-072;quarter-finals;not applicable;ITA;ESP
M-1934-13;1934 FIFA World Cup;S-072;quarter-finals;not applicable;ITA;ESP
M-1934-14;1934 FIFA World Cup;S-078;semi-finals;not applicable;CSK;GER
M-1934-15;1934 FIFA World Cup;S-074;semi-finals;not applicable;ITA;AUT
M-1934-16;1934 FIFA World Cup;S-075;third-place match;not applicable;GER;AUT
M-1934-17;1934 FIFA World Cup;S-078;final;not applicable;ITA;CSK
M-1938-01;1938 FIFA World Cup;S-045;round of 16;not applicable;CHE;GER
M-1938-02;1938 FIFA World Cup;S-052;round of 16;not applicable;CUB;ROU
M-1938-03;1938 FIFA World Cup;S-046;round of 16;not applicable;FRA;BEL
M-1938-04;1938 FIFA World Cup;S-047;round of 16;not applicable;HUN;IDN
M-1938-05;1938 FIFA World Cup;S-042;round of 16;not applicable;ITA;NOR
M-1938-06;1938 FIFA World Cup;S-050;round of 16;not applicable;BRA;POL
M-1938-07;1938 FIFA World Cup;S-038;round of 16;not applicable;CSK;NLD
M-1938-08;1938 FIFA World Cup;S-052;round of 16;not applicable;CUB;ROU
M-1938-09;1938 FIFA World Cup;S-045;round of 16;not applicable;CHE;GER
M-1938-10;1938 FIFA World Cup;S-037;quarter-finals;not applicable;BRA;CSK
M-1938-11;1938 FIFA World Cup;S-040;quarter-finals;not applicable;HUN;CHE
M-1938-12;1938 FIFA World Cup;S-046;quarter-finals;not applicable;ITA;FRA
M-1938-13;1938 FIFA World Cup;S-036;quarter-finals;not applicable;SWE;CUB
M-1938-14;1938 FIFA World Cup;S-037;quarter-finals;not applicable;BRA;CSK
M-1938-15;1938 FIFA World Cup;S-045;semi-finals;not applicable;HUN;SWE
M-1938-16;1938 FIFA World Cup;S-042;semi-finals;not applicable;ITA;BRA
M-1938-17;1938 FIFA World Cup;S-037;third-place match;not applicable;BRA;SWE
M-1938-18;1938 FIFA World Cup;S-046;final;not applicable;ITA;HUN
M-1950-01;1950 FIFA World Cup;S-020;group stage;Group 1;BRA;MEX
M-1950-02;1950 FIFA World Cup;S-007;group stage;Group 1;YUG;CHE
M-1950-03;1950 FIFA World Cup;S-020;group stage;Group 2;ENG;CHL
M-1950-04;1950 FIFA World Cup;S-012;group stage;Group 2;ESP;USA
M-1950-05;1950 FIFA World Cup;S-023;group stage;Group 3;SWE;ITA
M-1950-06;1950 FIFA World Cup;S-023;group stage;Group 1;BRA;CHE
