Match_Id;Winner;Home_Team_Score;Away_Team_Score
M-1930-01;home team win;4;1
M-1930-02;home team win;3;0
M-1930-03;home team win;2;1
M-1930-04;home team win;3;1
M-1930-05;home team win;1;0
M-1930-06;home team win;3;0
M-1930-07;home team win;4;0
M-1930-08;home team win;3;0
M-1930-09;home team win;1;0
M-1930-10;home team win;1;0
M-1930-11;home team win;6;3
M-1930-12;home team win;4;0
M-1930-13;home team win;1;0
M-1930-14;home team win;4;0
M-1930-15;home team win;3;1
M-1930-16;home team win;6;1
M-1930-17;home team win;6;1
M-1930-18;home team win;4;2
M-1934-01;home team win;3;2
M-1934-02;home team win;2;1
M-1934-03;home team win;5;2
M-1934-04;home team win;4;2
M-1934-05;home team win;7;1
M-1934-06;home team win;3;1
M-1934-07;home team win;3;2
M-1934-08;home team win;3;2
M-1934-09;home team win;2;1
M-1934-10;home team win;3;2
M-1934-11;home team win;2;1
M-1934-12;draw;1;1
M-1934-13;home team win;1;0
M-1934-14;home team win;3;1
M-1934-15;home team win;1;0
M-1934-16;home team win;3;2
M-1934-17;home team win;2;1
M-1938-01;draw;1;1
M-1938-02;draw;3;3
M-1938-03;home team win;3;1
M-1938-04;home team win;6;0
M-1938-05;home team win;2;1
M-1938-06;home team win;6;5
M-1938-07;home team win;3;0
M-1938-08;home team win;2;1
M-1938-09;home team win;4;2
M-1938-10;draw;1;1
M-1938-11;home team win;2;0
M-1938-12;home team win;3;1
M-1938-13;home team win;8;0
M-1938-14;home team win;2;1
M-1938-15;home team win;5;1
M-1938-16;home team win;2;1
M-1938-17;home team win;4;2
M-1938-18;home team win;4;2
M-1950-01;home team win;4;0
M-1950-02;home team win;3;0
M-1950-03;home team win;2;0
M-1950-04;home team win;3;1
M-1950-05;home team win;3;2
M-1950-06;draw;2;2
M-1950-07;home team win;4;1
M-1950-08;home team win;2;0
M-1950-09;home team win;1;0
M-1950-10;draw;2;2
M-1950-11;home team win;2;0
M-1950-12;home team win;5;2
M-1950-13;home team win;1;0
M-1950-14;home team win;2;0
M-1950-15;home team win;8;0
M-1950-16;home team win;2;1
M-1950-17;home team win;7;1
M-1950-18;draw;2;2
M-1950-19;home team win;6;1
M-1950-20;home team win;3;2
M-1950-21;home team win;3;1
M-1950-22;home team win;2;1
M-1954-01;home team win;5;0
M-1954-02;home team win;1;0
M-1954-03;home team win;1;0
M-1954-04;home team win;2;0
M-1954-05;home team win;2;1
M-1954-06;home team win;9;0
M-1954-07;home team win;4;1
M-1954-08;draw;4;4
M-1954-09;home team win;7;0
M-1954-10;draw;1;1
M-1954-11;home team win;5;0
M-1954-12;home team win;3;2
M-1954-13;home team win;8;3
M-1954-14;home team win;7;0
M-1954-15;home team win;4;1
M-1954-16;home team win;2;0
M-1954-17;home team win;7;2
M-1954-18;home team win;4;1
M-1954-19;home team win;7;5
M-1954-20;home team win;4;2
M-1954-21;home team win;4;2
M-1954-22;home team win;2;0
M-1954-23;home team win;4;2
M-1954-24;home team win;6;1
M-1954-25;home team win;3;1
M-1954-26;home team win;3;2
M-1958-01;home team win;3;0
M-1958-02;away team win;1;3
M-1958-03;home team win;1;0
M-1958-04;home team win;7;3
M-1958-05;draw;1;1
M-1958-06;draw;1;1
M-1958-07;home team win;3;0
M-1958-08;draw;2;2
M-1958-09;home team win;3;1
M-1958-10;draw;2;2
M-1958-11;home team win;3;2
M-1958-12;home team win;3;2
M-1958-13;draw;1;1
M-1958-14;draw;0;0
M-1958-15;home team win;2;0
M-1958-16;home team win;2;1
M-1958-17;draw;0;0
M-1958-18;home team win;6;1
M-1958-19;draw;2;2
M-1958-20;home team win;2;1
M-1958-21;draw;3;3
M-1958-22;home team win;4;0
M-1958-23;home team win;2;0
M-1958-24;draw;2;2
M-1958-25;home team win;2;1
M-1958-26;home team win;2;1
M-1958-27;home team win;1;0
M-1958-28;home team win;1;0
M-1958-29;home team win;4;0
M-1958-30;home team win;2;0
M-1958-31;home team win;1;0
M-1958-32;home team win;5;2
M-1958-33;home team win;3;1
M-1958-34;home team win;6;3
M-1958-35;home team win;5;2
M-1962-01;home team win;2;1
M-1962-02;home team win;3;1
M-1962-03;home team win;2;0
M-1962-04;home team win;1;0
M-1962-05;home team win;2;0
M-1962-06;draw;0;0
M-1962-07;home team win;1;0
M-1962-08;home team win;2;1
M-1962-09;home team win;3;1
M-1962-10;home team win;2;0
M-1962-11;draw;0;0
M-1962-12;home team win;3;1
M-1962-13;draw;4;4
M-1962-14;home team win;2;1
M-1962-15;home team win;1;0
M-1962-16;home team win;6;1
M-1962-17;home team win;2;1
M-1962-18;home team win;2;0
M-1962-19;home team win;2;1
M-1962-20;draw;0;0
M-1962-21;home team win;5;0
M-1962-22;home team win;3;0
M-1962-23;home team win;3;1
M-1962-24;draw;0;0
M-1962-25;home team win;3;1
M-1962-26;home team win;2;1
M-1962-27;home team win;1;0
M-1962-28;home team win;1;0
M-1962-29;home team win;4;2
M-1962-30;home team win;3;1
M-1962-31;home team win;1;0
M-1962-32;home team win;3;1
M-1966-01;draw;0;0
M-1966-02;home team win;5;0
M-1966-03;home team win;2;0
M-1966-04;home team win;3;0
M-1966-05;draw;1;1
M-1966-06;home team win;2;1
M-1966-07;home team win;3;1
M-1966-08;home team win;2;0
M-1966-09;home team win;2;1
M-1966-10;home team win;2;1
M-1966-11;home team win;3;1
M-1966-12;draw;1;1
M-1966-13;draw;0;0
M-1966-14;home team win;3;0
M-1966-15;home team win;1;0
M-1966-16;home team win;2;0
M-1966-17;draw;0;0
M-1966-18;home team win;2;0
M-1966-19;home team win;3;1
M-1966-20;home team win;1;0
M-1966-21;home team win;2;0
M-1966-22;home team win;2;1
M-1966-23;home team win;3;1
M-1966-24;home team win;2;1
M-1966-25;home team win;1;0
M-1966-26;home team win;5;3
M-1966-27;home team win;2;1
M-1966-28;home team win;4;0
M-1966-29;home team win;2;1
M-1966-30;home team win;2;1
M-1966-31;home team win;2;1
M-1966-32;home team win;4;2
M-1970-01;draw;0;0
M-1970-02;home team win;2;0
M-1970-03;home team win;1;0
M-1970-04;home team win;3;2
M-1970-05;home team win;3;0
M-1970-06;home team win;1;0
M-1970-07;home team win;4;1
M-1970-08;home team win;2;1
M-1970-09;home team win;4;1
M-1970-10;draw;0;0
M-1970-11;home team win;2;1
M-1970-12;home team win;3;0
M-1970-13;home team win;4;0
M-1970-14;draw;1;1
M-1970-15;home team win;1;0
M-1970-16;home team win;5;2
M-1970-17;home team win;2;0
M-1970-18;home team win;1;0
M-1970-19;home team win;3;2
M-1970-20;home team win;3;1
M-1970-21;home team win;1;0
M-1970-22;draw;0;0
M-1970-23;home team win;1;0
M-1970-24;draw;1;1
M-1970-25;home team win;4;2
M-1970-26;home team win;4;1
M-1970-27;away team win;0;1
M-1970-28;home team win;3;2
M-1970-29;home team win;3;1
M-1970-30;home team win;4;3
M-1970-31;home team win;1;0
M-1970-32;home team win;4;1
M-1974-01;draw;0;0
M-1974-02;home team win;1;0
M-1974-03;home team win;2;0
M-1974-04;away team win;0;2
M-1974-05;draw;0;0
M-1974-06;away team win;0;2
M-1974-07;home team win;3;1
M-1974-08;home team win;3;2
M-1974-09;away team win;0;3
M-1974-10;draw;1;1
M-1974-11;draw;0;0
M-1974-12;home team win;9;0
M-1974-13;draw;1;1
M-1974-14;draw;0;0
M-1974-15;draw;1;1
M-1974-16;away team win;0;7
M-1974-17;draw;0;0
M-1974-18;draw;1;1
M-1974-19;away team win;0;3
M-1974-20;home team win;1;0
M-1974-21;away team win;1;4
M-1974-22;home team win;3;0
M-1974-23;home team win;4;1
M-1974-24;home team win;2;1
M-1974-25;away team win;0;2
M-1974-26;home team win;1;0
M-1974-27;home team win;4;0
M-1974-28;away team win;0;1
M-1974-29;away team win;1;2
M-1974-30;away team win;0;2
M-1974-31;home team win;2;1
M-1974-32;home team win;4;2
M-1974-33;away team win;0;1
M-1974-34;draw;1;1
M-1974-35;home team win;2;0
M-1974-36;home team win;2;1
M-1974-37;away team win;0;1
M-1974-38;away team win;1;2
M-1978-01;draw;0;0
M-1978-02;home team win;2;1
M-1978-03;home team win;3;1
M-1978-04;home team win;2;1
M-1978-05;home team win;2;1
M-1978-06;draw;1;1
M-1978-07;home team win;3;0
M-1978-08;home team win;3;1
M-1978-09;home team win;3;1
M-1978-10;home team win;1;0
M-1978-11;home team win;6;0
M-1978-12;home team win;2;1
M-1978-13;home team win;1;0
M-1978-14;draw;0;0
M-1978-15;draw;0;0
M-1978-16;draw;1;1
M-1978-17;home team win;3;1
M-1978-18;home team win;3;1
M-1978-19;draw;0;0
M-1978-20;away team win;0;1
M-1978-21;home team win;1;0
M-1978-22;home team win;1;0
M-1978-23;home team win;4;1
M-1978-24;home team win;3;2
M-1978-25;away team win;1;5
M-1978-26;draw;0;0
M-1978-27;home team win;3;0
M-1978-28;home team win;2;0
M-1978-29;away team win;0;1
M-1978-30;home team win;1;0
M-1978-31;draw;2;2
M-1978-32;draw;0;0
M-1978-33;home team win;3;2
M-1978-34;away team win;1;2
M-1978-35;home team win;3;1
M-1978-36;home team win;6;0
M-1978-37;home team win;2;1
M-1978-38;home team win;3;1
M-1982-01;away team win;0;1
M-1982-02;draw;0;0
M-1982-03;home team win;2;1
M-1982-04;draw;0;0
M-1982-05;home team win;10;1
M-1982-06;home team win;5;2
M-1982-07;away team win;1;2
M-1982-08;home team win;3;1
M-1982-09;draw;1;1
M-1982-10;away team win;0;1
M-1982-11;draw;1;1
M-1982-12;draw;0;0
M-1982-13;draw;1;1
M-1982-14;home team win;4;1
M-1982-15;home team win;4;1
M-1982-16;draw;0;0
M-1982-17;home team win;1;0
M-1982-18;home team win;3;0
M-1982-19;home team win;4;1
M-1982-20;home team win;2;0
M-1982-21;home team win;2;1
M-1982-22;away team win;0;2
M-1982-23;home team win;4;1
M-1982-24;draw;1;1
M-1982-25;home team win;5;1
M-1982-26;draw;1;1
M-1982-27;draw;2;2
M-1982-28;draw;1;1
M-1982-29;home team win;2;0
M-1982-30;home team win;4;0
M-1982-31;home team win;3;2
M-1982-32;draw;1;1
M-1982-33;away team win;0;1
M-1982-34;home team win;1;0
M-1982-35;home team win;1;0
M-1982-36;away team win;0;1
M-1982-37;away team win;0;1
M-1982-38;home team win;3;0
M-1982-39;home team win;2;1
M-1982-40;draw;0;0
M-1982-41;draw;2;2
M-1982-42;away team win;0;1
M-1982-43;away team win;1;3
M-1982-44;home team win;2;1
M-1982-45;home team win;4;1
M-1982-46;draw;0;0
M-1982-47;home team win;3;2
M-1982-48;draw;0;0
M-1982-49;away team win;0;2
M-1982-50;home team win;3;3
M-1982-51;home team win;3;2
M-1982-52;home team win;3;1
M-1986-01;draw;1;1
M-1986-02;away team win;0;1
M-1986-03;away team win;0;1
