Stadium_Id;Stadium_Name;City_Name;Country_Name
S-001;Estadio José Amalfitani;Buenos Aires;Argentina
S-002;Estadio Monumental;Buenos Aires;Argentina
S-003;Estadio Chateau Carreras;Córdoba;Argentina
S-004;Estadio José María Minella;Mar del Plata;Argentina
S-005;Estadio Ciudad de Mendoza;Mendoza;Argentina
S-006;Estadio Gigante de Arroyito;Rosario;Argentina
S-007;Estádio Independęncia;Belo Horizonte;Brazil
S-008;Estádio Mineirăo;Belo Horizonte;Brazil
S-009;Estádio Nacional;Brasília;Brazil
S-010;Arena Pantanal;Cuiabá;Brazil
S-011;Arena da Baixada;Curitiba;Brazil
S-012;Estádio Vila Capanema;Curitiba;Brazil
S-013;Estádio Castelăo;Fortaleza;Brazil
S-014;Arena da Amazônia;Manaus;Brazil
S-015;Arena das Dunas;Natal;Brazil
S-016;Estádio Beira-Rio;Porto Alegre;Brazil
S-017;Estádio dos Eucaliptos;Porto Alegre;Brazil
S-018;Arena Pernambuco;Recife;Brazil
S-019;Estádio Ilha do Retiro;Recife;Brazil
S-020;Estádio do Maracană;Rio de Janeiro;Brazil
S-021;Arena Fonte Nova;Salvador;Brazil
S-022;Arena Corinthians;Săo Paulo;Brazil
S-023;Estádio do Pacaembu;Săo Paulo;Brazil
S-024;Estadio Carlos Dittborn;Arica;Chile
S-025;Estadio El Teniente;Rancagua;Chile
S-026;Estadio Nacional;Santiago;Chile
S-027;Estadio Sausalito;Vińa del Mar;Chile
S-028;Villa Park;Birmingham;England
S-029;Goodison Park;Liverpool;England
S-030;Wembley Stadium;London;England
S-031;White City Stadium;London;England
S-032;Old Trafford;Manchester;England
S-033;Ayresome Park;Middlesbrough;England
S-034;Hillsborough Stadium;Sheffield;England
S-035;Roker Park;Sunderland;England
S-036;Stade du Fort Carré;Antibes;France
S-037;Stade du Parc Lescure;Bordeaux;France
S-038;Stade Jules Deschaseaux;Le Havre;France
S-039;Stade Félix-Bollaert;Lens;France
S-040;Stade Victor Boucquey;Lille;France
S-041;Stade de Gerland;Lyon;France
S-042;Stade Vélodrome;Marseille;France
S-043;Stade de la Mosson;Montpellier;France
S-044;Stade de la Beaujoire;Nantes;France
S-045;Parc des Princes;Paris;France
S-046;Stade Olympique de Colombes;Paris;France
S-047;Vélodrome Municipal;Reims;France
S-048;Stade de France;Saint-Denis;France
S-049;Stade Geoffroy-Guichard;Saint-Étienne;France
S-050;Stade de la Meinau;Strasbourg;France
S-051;Stade de Toulouse;Toulouse;France
S-052;Stade du T.O.E.C.;Toulouse;France
S-053;Olympiastadion;Berlin;Germany
S-054;RheinEnergieStadion;Cologne;Germany
S-055;Westfalenstadion;Dortmund;Germany
S-056;Rheinstadion;Düsseldorf;Germany
S-057;Waldstadion;Frankfurt;Germany
S-058;Arena AufShalke;Gelsenkirchen;Germany
S-059;Parkstadion;Gelsenkirchen;Germany
S-060;Volksparkstadion;Hamburg;Germany
S-061;Niedersachsenstadion;Hanover;Germany
S-062;Fritz-Walter-Stadion;Kaiserslautern;Germany
S-063;Zentralstadion;Leipzig;Germany
S-064;Allianz Arena;Munich;Germany
S-065;Olympiastadion;Munich;Germany
S-066;Frankenstadion;Nuremberg;Germany
S-067;Neckarstadion;Stuttgart;Germany
S-068;Stadio San Nicola;Bari;Italy
S-069;Stadio Renato Dall'Ara;Bologna;Italy
